社員番号,社員名,日付,タスク名,開始時間,終了時間,差分,作業時間合計,中断時間合計,中断回数,中断時間リスト
2222,田中博,2023-10-01,事務//提案資料作成,09:00:00,09:13:20,0:13:20,0:13:20,0,0,0
2222,田中博,2023-10-01,事務//提案資料作成,09:13:20,09:25:47,0:12:27,0:12:27,0,0,0
2222,田中博,2023-10-01,受電//通常対応//請求案内,09:25:47,09:26:17,0:00:30,0:00:30,0,0,0
2222,田中博,2023-10-01,受電//内線対応,09:26:17,09:45:48,0:19:31,0:19:31,0,0,0
2222,田中博,2023-10-01,受電//クレーム対応//SVにて完結,09:45:48,10:05:34,0:19:46,0:19:46,0,0,0
2222,田中博,2023-10-01,研修//新人研修,10:05:34,10:22:09,0:16:35,0:16:35,0,0,0
2222,田中博,2023-10-01,受電//通常対応//請求案内,10:22:09,10:42:19,0:20:10,0:20:10,0,0,0
2222,田中博,2023-10-01,受電//通常対応//セールス,10:42:19,10:53:48,0:11:29,0:11:29,0,0,0
2222,田中博,2023-10-01,事務//報告書作成,10:53:48,10:54:23,0:00:35,0:00:35,0,0,0
2222,田中博,2023-10-01,研修//事務研修,10:54:23,10:55:02,0:00:39,0:00:39,0,0,0
2222,田中博,2023-10-01,事務//提案資料作成,10:55:02,11:12:32,0:17:30,0:17:30,0,0,0
2222,田中博,2023-10-01,受電//通常対応//請求案内,11:12:32,11:18:30,0:05:58,0:05:58,0,0,0
2222,田中博,2023-10-01,事務//経費精算,11:18:30,11:28:53,0:10:23,0:10:23,0,0,0
2222,田中博,2023-10-01,研修//事務研修,11:28:53,11:32:39,0:03:46,0:03:46,0,0,0
2222,田中博,2023-10-01,事務//報告書作成,11:32:39,11:35:38,0:02:59,0:02:59,0,0,0
2222,田中博,2023-10-01,受電//クレーム対応//社員相談,11:35:38,11:43:55,0:08:17,0:08:17,0,0,0
2222,田中博,2023-10-01,事務//報告書作成,11:43:55,11:54:06,0:10:11,0:10:11,0,0,0
2222,田中博,2023-10-01,事務//報告書作成,11:54:06,12:05:29,0:11:23,0:11:23,0,0,0
2222,田中博,2023-10-01,受電//通常対応//請求案内,12:05:29,12:26:09,0:20:40,0:20:40,0,0,0
2222,田中博,2023-10-01,受電//クレーム対応//SVにて完結,12:26:09,12:26:53,0:00:44,0:00:44,0,0,0
2222,田中博,2023-10-01,受電//内線対応,12:26:53,12:41:07,0:14:14,0:14:14,0,0,0
2222,田中博,2023-10-01,受電//通常対応//請求案内,12:41:07,12:54:44,0:13:37,0:13:37,0,0,0
2222,田中博,2023-10-01,受電//クレーム対応//SVにて完結,12:54:44,13:12:39,0:17:55,0:17:55,0,0,0
2222,田中博,2023-10-01,研修//新人研修,13:12:39,13:27:20,0:14:41,0:14:41,0,0,0
2222,田中博,2023-10-01,受電//内線対応,13:27:20,13:44:13,0:16:53,0:16:53,0,0,0
2222,田中博,2023-10-01,受電//通常対応//セールス,13:44:13,14:04:30,0:20:17,0:20:17,0,0,0
2222,田中博,2023-10-01,研修//事務研修,14:04:30,14:06:05,0:01:35,0:01:35,0,0,0
2222,田中博,2023-10-01,事務//提案資料作成,14:06:05,14:07:40,0:01:35,0:01:35,0,0,0
2222,田中博,2023-10-01,受電//内線対応,14:07:40,14:26:02,0:18:22,0:18:22,0,0,0
2222,田中博,2023-10-01,研修//新人研修,14:26:02,14:42:52,0:16:50,0:16:50,0,0,0
2222,田中博,2023-10-01,研修//スキルアップ研修,14:42:52,14:52:56,0:10:04,0:10:04,0,0,0
2222,田中博,2023-10-01,受電//通常対応//請求案内,14:52:56,15:04:22,0:11:26,0:11:26,0,0,0
2222,田中博,2023-10-01,研修//事務研修,15:04:22,15:21:22,0:17:00,0:17:00,0,0,0
2222,田中博,2023-10-01,事務//経費精算,15:21:22,15:32:53,0:11:31,0:11:31,0,0,0
2222,田中博,2023-10-01,研修//新人研修,15:32:53,15:45:45,0:12:52,0:12:52,0,0,0
2222,田中博,2023-10-01,受電//内線対応,15:45:45,15:58:25,0:12:40,0:12:40,0,0,0
2222,田中博,2023-10-01,研修//事務研修,15:58:25,16:08:05,0:09:40,0:09:40,0,0,0
2222,田中博,2023-10-01,受電//内線対応,16:08:05,16:23:48,0:15:43,0:15:43,0,0,0
2222,田中博,2023-10-01,受電//クレーム対応//社員相談,16:23:48,16:37:02,0:13:14,0:13:14,0,0,0
2222,田中博,2023-10-01,受電//通常対応//セールス,16:37:02,16:49:29,0:12:27,0:12:27,0,0,0
