社員番号,社員名,日付,タスク名,開始時間,終了時間,差分,作業時間合計,中断時間合計,中断回数,中断時間リスト
9999,貝原良子,2023-10-02,事務//提案資料作成,09:00:00,09:07:24,0:07:24,0:07:24,0,0,0
9999,貝原良子,2023-10-02,研修//事務研修,09:07:24,09:19:12,0:11:48,0:11:48,0,0,0
9999,貝原良子,2023-10-02,事務//経費精算,09:19:12,09:20:53,0:01:41,0:01:41,0,0,0
9999,貝原良子,2023-10-02,受電//通常対応//設定変更,09:20:53,09:38:16,0:17:23,0:17:23,0,0,0
9999,貝原良子,2023-10-02,受電//クレーム対応//SVにて完結,09:38:16,09:54:52,0:16:36,0:16:36,0,0,0
9999,貝原良子,2023-10-02,事務//提案資料作成,09:54:52,10:05:42,0:10:50,0:10:50,0,0,0
9999,貝原良子,2023-10-02,受電//通常対応//請求案内,10:05:42,10:10:25,0:04:43,0:04:43,0,0,0
9999,貝原良子,2023-10-02,研修//事務研修,10:10:25,10:14:14,0:03:49,0:03:49,0,0,0
9999,貝原良子,2023-10-02,受電//クレーム対応//社員相談,10:14:14,10:33:39,0:19:25,0:19:25,0,0,0
9999,貝原良子,2023-10-02,事務//提案資料作成,10:33:39,10:49:30,0:15:51,0:15:51,0,0,0
9999,貝原良子,2023-10-02,研修//事務研修,10:49:30,11:01:53,0:12:23,0:12:23,0,0,0
9999,貝原良子,2023-10-02,受電//通常対応//請求案内,11:01:53,11:06:45,0:04:52,0:04:52,0,0,0
9999,貝原良子,2023-10-02,受電//通常対応//設定変更,11:06:45,11:17:03,0:10:18,0:10:18,0,0,0
9999,貝原良子,2023-10-02,事務//提案資料作成,11:17:03,11:35:51,0:18:48,0:18:48,0,0,0
9999,貝原良子,2023-10-02,研修//スキルアップ研修,11:35:51,11:48:51,0:13:00,0:13:00,0,0,0
9999,貝原良子,2023-10-02,研修//事務研修,11:48:51,11:55:20,0:06:29,0:06:29,0,0,0
9999,貝原良子,2023-10-02,受電//通常対応//セールス,11:55:20,12:06:43,0:11:23,0:11:23,0,0,0
9999,貝原良子,2023-10-02,受電//通常対応//セールス,12:06:43,12:25:41,0:18:58,0:18:58,0,0,0
9999,貝原良子,2023-10-02,受電//通常対応//セールス,12:25:41,12:34:29,0:08:48,0:08:48,0,0,0
9999,貝原良子,2023-10-02,研修//スキルアップ研修,12:34:29,12:54:54,0:20:25,0:20:25,0,0,0
9999,貝原良子,2023-10-02,受電//クレーム対応//社員相談,12:54:54,13:10:12,0:15:18,0:15:18,0,0,0
9999,貝原良子,2023-10-02,受電//通常対応//セールス,13:10:12,13:21:22,0:11:10,0:11:10,0,0,0
9999,貝原良子,2023-10-02,受電//クレーム対応//社員相談,13:21:22,13:38:57,0:17:35,0:17:35,0,0,0
9999,貝原良子,2023-10-02,研修//新人研修,13:38:57,13:57:40,0:18:43,0:18:43,0,0,0
9999,貝原良子,2023-10-02,事務//提案資料作成,13:57:40,14:00:42,0:03:02,0:03:02,0,0,0
9999,貝原良子,2023-10-02,事務//経費精算,14:00:42,14:14:13,0:13:31,0:13:31,0,0,0
9999,貝原良子,2023-10-02,事務//経費精算,14:14:13,14:29:30,0:15:17,0:15:17,0,0,0
9999,貝原良子,2023-10-02,受電//通常対応//設定変更,14:29:30,14:47:44,0:18:14,0:18:14,0,0,0
9999,貝原良子,2023-10-02,受電//クレーム対応//SVにて完結,14:47:44,15:04:26,0:16:42,0:16:42,0,0,0
9999,貝原良子,2023-10-02,受電//クレーム対応//社員相談,15:04:26,15:05:09,0:00:43,0:00:43,0,0,0
9999,貝原良子,2023-10-02,事務//経費精算,15:05:09,15:19:10,0:14:01,0:14:01,0,0,0
9999,貝原良子,2023-10-02,研修//スキルアップ研修,15:19:10,15:37:10,0:18:00,0:18:00,0,0,0
9999,貝原良子,2023-10-02,事務//経費精算,15:37:10,15:40:21,0:03:11,0:03:11,0,0,0
9999,貝原良子,2023-10-02,受電//内線対応,15:40:21,15:42:20,0:01:59,0:01:59,0,0,0
9999,貝原良子,2023-10-02,受電//内線対応,15:42:20,15:57:03,0:14:43,0:14:43,0,0,0
9999,貝原良子,2023-10-02,受電//内線対応,15:57:03,15:59:49,0:02:46,0:02:46,0,0,0
9999,貝原良子,2023-10-02,受電//通常対応//セールス,15:59:49,16:06:36,0:06:47,0:06:47,0,0,0
9999,貝原良子,2023-10-02,研修//事務研修,16:06:36,16:08:05,0:01:29,0:01:29,0,0,0
9999,貝原良子,2023-10-02,受電//クレーム対応//SVにて完結,16:08:05,16:09:44,0:01:39,0:01:39,0,0,0
9999,貝原良子,2023-10-02,研修//事務研修,16:09:44,16:27:33,0:17:49,0:17:49,0,0,0
