社員番号,社員名,日付,タスク名,開始時間,終了時間,差分,作業時間合計,中断時間合計,中断回数,中断時間リスト
3333,横山真一,2023-10-04,受電//通常対応//セールス,09:00:00,09:07:13,0:07:13,0:07:13,0,0,0
3333,横山真一,2023-10-04,研修//新人研修,09:07:13,09:26:04,0:18:51,0:18:51,0,0,0
3333,横山真一,2023-10-04,受電//クレーム対応//社員相談,09:26:04,09:41:53,0:15:49,0:15:49,0,0,0
3333,横山真一,2023-10-04,受電//通常対応//セールス,09:41:53,09:45:12,0:03:19,0:03:19,0,0,0
3333,横山真一,2023-10-04,受電//クレーム対応//SVにて完結,09:45:12,09:50:34,0:05:22,0:05:22,0,0,0
3333,横山真一,2023-10-04,受電//通常対応//設定変更,09:50:34,09:50:43,0:00:09,0:00:09,0,0,0
3333,横山真一,2023-10-04,受電//クレーム対応//社員相談,09:50:43,10:03:39,0:12:56,0:12:56,0,0,0
3333,横山真一,2023-10-04,受電//通常対応//請求案内,10:03:39,10:10:08,0:06:29,0:06:29,0,0,0
3333,横山真一,2023-10-04,受電//通常対応//設定変更,10:10:08,10:29:21,0:19:13,0:19:13,0,0,0
3333,横山真一,2023-10-04,事務//経費精算,10:29:21,10:32:59,0:03:38,0:03:38,0,0,0
3333,横山真一,2023-10-04,研修//スキルアップ研修,10:32:59,10:53:56,0:20:57,0:20:57,0,0,0
3333,横山真一,2023-10-04,研修//新人研修,10:53:56,11:02:18,0:08:22,0:08:22,0,0,0
3333,横山真一,2023-10-04,事務//提案資料作成,11:02:18,11:20:28,0:18:10,0:18:10,0,0,0
3333,横山真一,2023-10-04,受電//クレーム対応//SVにて完結,11:20:28,11:39:19,0:18:51,0:18:51,0,0,0
3333,横山真一,2023-10-04,事務//提案資料作成,11:39:19,11:44:11,0:04:52,0:04:52,0,0,0
3333,横山真一,2023-10-04,事務//経費精算,11:44:11,11:55:01,0:10:50,0:10:50,0,0,0
3333,横山真一,2023-10-04,受電//通常対応//セールス,11:55:01,11:55:05,0:00:04,0:00:04,0,0,0
3333,横山真一,2023-10-04,事務//経費精算,11:55:05,12:13:09,0:18:04,0:18:04,0,0,0
3333,横山真一,2023-10-04,研修//事務研修,12:13:09,12:16:53,0:03:44,0:03:44,0,0,0
3333,横山真一,2023-10-04,受電//クレーム対応//SVにて完結,12:16:53,12:37:06,0:20:13,0:20:13,0,0,0
3333,横山真一,2023-10-04,受電//通常対応//設定変更,12:37:06,12:52:26,0:15:20,0:15:20,0,0,0
3333,横山真一,2023-10-04,事務//経費精算,12:52:26,13:12:03,0:19:37,0:19:37,0,0,0
3333,横山真一,2023-10-04,受電//通常対応//設定変更,13:12:03,13:31:47,0:19:44,0:19:44,0,0,0
3333,横山真一,2023-10-04,受電//クレーム対応//SVにて完結,13:31:47,13:52:11,0:20:24,0:20:24,0,0,0
3333,横山真一,2023-10-04,研修//スキルアップ研修,13:52:11,14:02:28,0:10:17,0:10:17,0,0,0
3333,横山真一,2023-10-04,受電//クレーム対応//SVにて完結,14:02:28,14:02:52,0:00:24,0:00:24,0,0,0
3333,横山真一,2023-10-04,受電//通常対応//設定変更,14:02:52,14:19:38,0:16:46,0:16:46,0,0,0
3333,横山真一,2023-10-04,研修//スキルアップ研修,14:19:38,14:21:39,0:02:01,0:02:01,0,0,0
3333,横山真一,2023-10-04,受電//クレーム対応//社員相談,14:21:39,14:34:12,0:12:33,0:12:33,0,0,0
3333,横山真一,2023-10-04,受電//クレーム対応//SVにて完結,14:34:12,14:37:57,0:03:45,0:03:45,0,0,0
3333,横山真一,2023-10-04,受電//内線対応,14:37:57,14:43:09,0:05:12,0:05:12,0,0,0
3333,横山真一,2023-10-04,研修//スキルアップ研修,14:43:09,15:02:54,0:19:45,0:19:45,0,0,0
3333,横山真一,2023-10-04,受電//クレーム対応//社員相談,15:02:54,15:11:40,0:08:46,0:08:46,0,0,0
3333,横山真一,2023-10-04,研修//スキルアップ研修,15:11:40,15:18:31,0:06:51,0:06:51,0,0,0
3333,横山真一,2023-10-04,受電//クレーム対応//SVにて完結,15:18:31,15:25:57,0:07:26,0:07:26,0,0,0
3333,横山真一,2023-10-04,事務//報告書作成,15:25:57,15:38:29,0:12:32,0:12:32,0,0,0
3333,横山真一,2023-10-04,受電//通常対応//セールス,15:38:29,15:38:48,0:00:19,0:00:19,0,0,0
3333,横山真一,2023-10-04,受電//内線対応,15:38:48,15:51:48,0:13:00,0:13:00,0,0,0
3333,横山真一,2023-10-04,研修//新人研修,15:51:48,16:11:12,0:19:24,0:19:24,0,0,0
3333,横山真一,2023-10-04,受電//内線対応,16:11:12,16:16:23,0:05:11,0:05:11,0,0,0
