社員番号,社員名,日付,タスク名,開始時間,終了時間,差分,作業時間合計,中断時間合計,中断回数,中断時間リスト
5555,清水裕子,2023-10-08,受電//通常対応//請求案内,09:00:00,09:06:08,0:06:08,0:06:08,0,0,0
5555,清水裕子,2023-10-08,研修//事務研修,09:06:08,09:12:57,0:06:49,0:06:49,0,0,0
5555,清水裕子,2023-10-08,受電//通常対応//設定変更,09:12:57,09:18:43,0:05:46,0:05:46,0,0,0
5555,清水裕子,2023-10-08,受電//通常対応//セールス,09:18:43,09:38:10,0:19:27,0:19:27,0,0,0
5555,清水裕子,2023-10-08,研修//スキルアップ研修,09:38:10,09:39:35,0:01:25,0:01:25,0,0,0
5555,清水裕子,2023-10-08,事務//提案資料作成,09:39:35,09:43:05,0:03:30,0:03:30,0,0,0
5555,清水裕子,2023-10-08,事務//提案資料作成,09:43:05,09:49:46,0:06:41,0:06:41,0,0,0
5555,清水裕子,2023-10-08,事務//経費精算,09:49:46,10:07:59,0:18:13,0:18:13,0,0,0
5555,清水裕子,2023-10-08,事務//経費精算,10:07:59,10:15:50,0:07:51,0:07:51,0,0,0
5555,清水裕子,2023-10-08,研修//新人研修,10:15:50,10:17:06,0:01:16,0:01:16,0,0,0
5555,清水裕子,2023-10-08,受電//クレーム対応//社員相談,10:17:06,10:17:30,0:00:24,0:00:24,0,0,0
5555,清水裕子,2023-10-08,受電//通常対応//設定変更,10:17:30,10:30:00,0:12:30,0:12:30,0,0,0
5555,清水裕子,2023-10-08,研修//スキルアップ研修,10:30:00,10:32:42,0:02:42,0:02:42,0,0,0
5555,清水裕子,2023-10-08,受電//クレーム対応//SVにて完結,10:32:42,10:42:16,0:09:34,0:09:34,0,0,0
5555,清水裕子,2023-10-08,受電//通常対応//設定変更,10:42:16,10:42:28,0:00:12,0:00:12,0,0,0
5555,清水裕子,2023-10-08,研修//スキルアップ研修,10:42:28,10:48:33,0:06:05,0:06:05,0,0,0
5555,清水裕子,2023-10-08,受電//通常対応//請求案内,10:48:33,10:56:02,0:07:29,0:07:29,0,0,0
5555,清水裕子,2023-10-08,受電//通常対応//セールス,10:56:02,10:56:23,0:00:21,0:00:21,0,0,0
5555,清水裕子,2023-10-08,研修//スキルアップ研修,10:56:23,11:04:23,0:08:00,0:08:00,0,0,0
5555,清水裕子,2023-10-08,受電//通常対応//請求案内,11:04:23,11:06:54,0:02:31,0:02:31,0,0,0
5555,清水裕子,2023-10-08,事務//提案資料作成,11:06:54,11:22:20,0:15:26,0:15:26,0,0,0
5555,清水裕子,2023-10-08,受電//クレーム対応//社員相談,11:22:20,11:28:43,0:06:23,0:06:23,0,0,0
5555,清水裕子,2023-10-08,受電//クレーム対応//社員相談,11:28:43,11:49:14,0:20:31,0:20:31,0,0,0
5555,清水裕子,2023-10-08,事務//経費精算,11:49:14,11:57:02,0:07:48,0:07:48,0,0,0
5555,清水裕子,2023-10-08,受電//クレーム対応//SVにて完結,11:57:02,11:59:49,0:02:47,0:02:47,0,0,0
5555,清水裕子,2023-10-08,事務//経費精算,11:59:49,12:06:49,0:07:00,0:07:00,0,0,0
5555,清水裕子,2023-10-08,受電//内線対応,12:06:49,12:10:28,0:03:39,0:03:39,0,0,0
5555,清水裕子,2023-10-08,研修//新人研修,12:10:28,12:20:58,0:10:30,0:10:30,0,0,0
5555,清水裕子,2023-10-08,事務//報告書作成,12:20:58,12:21:30,0:00:32,0:00:32,0,0,0
5555,清水裕子,2023-10-08,研修//スキルアップ研修,12:21:30,12:32:54,0:11:24,0:11:24,0,0,0
5555,清水裕子,2023-10-08,受電//通常対応//セールス,12:32:54,12:50:13,0:17:19,0:17:19,0,0,0
5555,清水裕子,2023-10-08,研修//スキルアップ研修,12:50:13,12:59:13,0:09:00,0:09:00,0,0,0
5555,清水裕子,2023-10-08,受電//内線対応,12:59:13,13:05:30,0:06:17,0:06:17,0,0,0
5555,清水裕子,2023-10-08,事務//経費精算,13:05:30,13:22:46,0:17:16,0:17:16,0,0,0
5555,清水裕子,2023-10-08,研修//新人研修,13:22:46,13:37:56,0:15:10,0:15:10,0,0,0
5555,清水裕子,2023-10-08,事務//提案資料作成,13:37:56,13:37:57,0:00:01,0:00:01,0,0,0
5555,清水裕子,2023-10-08,受電//通常対応//設定変更,13:37:57,13:38:28,0:00:31,0:00:31,0,0,0
5555,清水裕子,2023-10-08,研修//事務研修,13:38:28,13:46:40,0:08:12,0:08:12,0,0,0
5555,清水裕子,2023-10-08,受電//内線対応,13:46:40,14:00:59,0:14:19,0:14:19,0,0,0
5555,清水裕子,2023-10-08,受電//クレーム対応//SVにて完結,14:00:59,14:04:35,0:03:36,0:03:36,0,0,0
