社員番号,社員名,日付,タスク名,開始時間,終了時間,差分,作業時間合計,中断時間合計,中断回数,中断時間リスト
7777,佐々木信二,2023-10-09,受電//通常対応//設定変更,09:00:00,09:02:29,0:02:29,0:02:29,0,0,0
7777,佐々木信二,2023-10-09,受電//通常対応//設定変更,09:02:29,09:03:24,0:00:55,0:00:55,0,0,0
7777,佐々木信二,2023-10-09,受電//通常対応//セールス,09:03:24,09:23:55,0:20:31,0:20:31,0,0,0
7777,佐々木信二,2023-10-09,受電//通常対応//セールス,09:23:55,09:26:18,0:02:23,0:02:23,0,0,0
7777,佐々木信二,2023-10-09,受電//クレーム対応//社員相談,09:26:18,09:37:35,0:11:17,0:11:17,0,0,0
7777,佐々木信二,2023-10-09,事務//経費精算,09:37:35,09:50:08,0:12:33,0:12:33,0,0,0
7777,佐々木信二,2023-10-09,受電//通常対応//請求案内,09:50:08,10:05:24,0:15:16,0:15:16,0,0,0
7777,佐々木信二,2023-10-09,研修//事務研修,10:05:24,10:23:38,0:18:14,0:18:14,0,0,0
7777,佐々木信二,2023-10-09,受電//通常対応//設定変更,10:23:38,10:38:49,0:15:11,0:15:11,0,0,0
7777,佐々木信二,2023-10-09,受電//クレーム対応//社員相談,10:38:49,10:49:27,0:10:38,0:10:38,0,0,0
7777,佐々木信二,2023-10-09,受電//通常対応//請求案内,10:49:27,11:04:00,0:14:33,0:14:33,0,0,0
7777,佐々木信二,2023-10-09,研修//スキルアップ研修,11:04:00,11:07:42,0:03:42,0:03:42,0,0,0
7777,佐々木信二,2023-10-09,研修//スキルアップ研修,11:07:42,11:09:48,0:02:06,0:02:06,0,0,0
7777,佐々木信二,2023-10-09,受電//通常対応//請求案内,11:09:48,11:16:38,0:06:50,0:06:50,0,0,0
7777,佐々木信二,2023-10-09,研修//事務研修,11:16:38,11:28:18,0:11:40,0:11:40,0,0,0
7777,佐々木信二,2023-10-09,事務//提案資料作成,11:28:18,11:37:28,0:09:10,0:09:10,0,0,0
7777,佐々木信二,2023-10-09,研修//事務研修,11:37:28,11:40:17,0:02:49,0:02:49,0,0,0
7777,佐々木信二,2023-10-09,受電//通常対応//設定変更,11:40:17,11:59:54,0:19:37,0:19:37,0,0,0
7777,佐々木信二,2023-10-09,研修//新人研修,11:59:54,12:02:48,0:02:54,0:02:54,0,0,0
7777,佐々木信二,2023-10-09,研修//事務研修,12:02:48,12:19:20,0:16:32,0:16:32,0,0,0
7777,佐々木信二,2023-10-09,事務//報告書作成,12:19:20,12:33:11,0:13:51,0:13:51,0,0,0
7777,佐々木信二,2023-10-09,事務//提案資料作成,12:33:11,12:40:47,0:07:36,0:07:36,0,0,0
7777,佐々木信二,2023-10-09,研修//事務研修,12:40:47,12:50:24,0:09:37,0:09:37,0,0,0
7777,佐々木信二,2023-10-09,事務//経費精算,12:50:24,13:04:03,0:13:39,0:13:39,0,0,0
7777,佐々木信二,2023-10-09,事務//報告書作成,13:04:03,13:22:46,0:18:43,0:18:43,0,0,0
7777,佐々木信二,2023-10-09,研修//新人研修,13:22:46,13:42:38,0:19:52,0:19:52,0,0,0
7777,佐々木信二,2023-10-09,研修//新人研修,13:42:38,13:47:04,0:04:26,0:04:26,0,0,0
7777,佐々木信二,2023-10-09,事務//提案資料作成,13:47:04,13:50:28,0:03:24,0:03:24,0,0,0
7777,佐々木信二,2023-10-09,事務//提案資料作成,13:50:28,14:03:42,0:13:14,0:13:14,0,0,0
7777,佐々木信二,2023-10-09,事務//提案資料作成,14:03:42,14:18:42,0:15:00,0:15:00,0,0,0
7777,佐々木信二,2023-10-09,事務//経費精算,14:18:42,14:35:02,0:16:20,0:16:20,0,0,0
7777,佐々木信二,2023-10-09,受電//クレーム対応//社員相談,14:35:02,14:40:36,0:05:34,0:05:34,0,0,0
7777,佐々木信二,2023-10-09,研修//スキルアップ研修,14:40:36,14:59:15,0:18:39,0:18:39,0,0,0
7777,佐々木信二,2023-10-09,事務//報告書作成,14:59:15,15:18:07,0:18:52,0:18:52,0,0,0
7777,佐々木信二,2023-10-09,研修//スキルアップ研修,15:18:07,15:29:21,0:11:14,0:11:14,0,0,0
7777,佐々木信二,2023-10-09,受電//クレーム対応//社員相談,15:29:21,15:32:21,0:03:00,0:03:00,0,0,0
7777,佐々木信二,2023-10-09,研修//スキルアップ研修,15:32:21,15:37:06,0:04:45,0:04:45,0,0,0
7777,佐々木信二,2023-10-09,受電//内線対応,15:37:06,15:38:22,0:01:16,0:01:16,0,0,0
7777,佐々木信二,2023-10-09,受電//クレーム対応//社員相談,15:38:22,15:38:41,0:00:19,0:00:19,0,0,0
7777,佐々木信二,2023-10-09,研修//事務研修,15:38:41,15:58:41,0:20:00,0:20:00,0,0,0
