社員番号,社員名,日付,タスク名,開始時間,終了時間,差分,作業時間合計,中断時間合計,中断回数,中断時間リスト
6666,広瀬花子,2023-10-11,受電//内線対応,09:00:00,09:11:13,0:11:13,0:11:13,0,0,0
6666,広瀬花子,2023-10-11,事務//経費精算,09:11:13,09:13:55,0:02:42,0:02:42,0,0,0
6666,広瀬花子,2023-10-11,事務//提案資料作成,09:13:55,09:33:11,0:19:16,0:19:16,0,0,0
6666,広瀬花子,2023-10-11,受電//通常対応//セールス,09:33:11,09:46:53,0:13:42,0:13:42,0,0,0
6666,広瀬花子,2023-10-11,受電//クレーム対応//社員相談,09:46:53,10:05:26,0:18:33,0:18:33,0,0,0
6666,広瀬花子,2023-10-11,研修//スキルアップ研修,10:05:26,10:23:29,0:18:03,0:18:03,0,0,0
6666,広瀬花子,2023-10-11,受電//クレーム対応//SVにて完結,10:23:29,10:29:03,0:05:34,0:05:34,0,0,0
6666,広瀬花子,2023-10-11,受電//通常対応//セールス,10:29:03,10:30:45,0:01:42,0:01:42,0,0,0
6666,広瀬花子,2023-10-11,事務//提案資料作成,10:30:45,10:51:21,0:20:36,0:20:36,0,0,0
6666,広瀬花子,2023-10-11,研修//事務研修,10:51:21,10:52:47,0:01:26,0:01:26,0,0,0
6666,広瀬花子,2023-10-11,研修//新人研修,10:52:47,11:12:08,0:19:21,0:19:21,0,0,0
6666,広瀬花子,2023-10-11,受電//クレーム対応//社員相談,11:12:08,11:23:25,0:11:17,0:11:17,0,0,0
6666,広瀬花子,2023-10-11,事務//報告書作成,11:23:25,11:30:37,0:07:12,0:07:12,0,0,0
6666,広瀬花子,2023-10-11,受電//通常対応//セールス,11:30:37,11:37:19,0:06:42,0:06:42,0,0,0
6666,広瀬花子,2023-10-11,研修//スキルアップ研修,11:37:19,11:40:56,0:03:37,0:03:37,0,0,0
6666,広瀬花子,2023-10-11,受電//通常対応//設定変更,11:40:56,11:56:44,0:15:48,0:15:48,0,0,0
6666,広瀬花子,2023-10-11,研修//スキルアップ研修,11:56:44,12:08:44,0:12:00,0:12:00,0,0,0
6666,広瀬花子,2023-10-11,受電//内線対応,12:08:44,12:14:31,0:05:47,0:05:47,0,0,0
6666,広瀬花子,2023-10-11,受電//クレーム対応//社員相談,12:14:31,12:15:37,0:01:06,0:01:06,0,0,0
6666,広瀬花子,2023-10-11,受電//通常対応//設定変更,12:15:37,12:22:24,0:06:47,0:06:47,0,0,0
6666,広瀬花子,2023-10-11,事務//提案資料作成,12:22:24,12:25:40,0:03:16,0:03:16,0,0,0
6666,広瀬花子,2023-10-11,事務//提案資料作成,12:25:40,12:29:48,0:04:08,0:04:08,0,0,0
6666,広瀬花子,2023-10-11,受電//通常対応//設定変更,12:29:48,12:37:04,0:07:16,0:07:16,0,0,0
6666,広瀬花子,2023-10-11,研修//事務研修,12:37:04,12:57:14,0:20:10,0:20:10,0,0,0
6666,広瀬花子,2023-10-11,事務//報告書作成,12:57:14,13:14:37,0:17:23,0:17:23,0,0,0
6666,広瀬花子,2023-10-11,受電//クレーム対応//社員相談,13:14:37,13:15:03,0:00:26,0:00:26,0,0,0
6666,広瀬花子,2023-10-11,受電//クレーム対応//SVにて完結,13:15:03,13:33:32,0:18:29,0:18:29,0,0,0
6666,広瀬花子,2023-10-11,受電//クレーム対応//SVにて完結,13:33:32,13:43:50,0:10:18,0:10:18,0,0,0
6666,広瀬花子,2023-10-11,受電//クレーム対応//SVにて完結,13:43:50,13:52:58,0:09:08,0:09:08,0,0,0
6666,広瀬花子,2023-10-11,受電//クレーム対応//SVにて完結,13:52:58,13:59:40,0:06:42,0:06:42,0,0,0
6666,広瀬花子,2023-10-11,研修//新人研修,13:59:40,14:01:25,0:01:45,0:01:45,0,0,0
6666,広瀬花子,2023-10-11,受電//通常対応//設定変更,14:01:25,14:08:25,0:07:00,0:07:00,0,0,0
6666,広瀬花子,2023-10-11,事務//経費精算,14:08:25,14:25:14,0:16:49,0:16:49,0,0,0
6666,広瀬花子,2023-10-11,研修//事務研修,14:25:14,14:26:55,0:01:41,0:01:41,0,0,0
6666,広瀬花子,2023-10-11,研修//事務研修,14:26:55,14:41:18,0:14:23,0:14:23,0,0,0
6666,広瀬花子,2023-10-11,事務//経費精算,14:41:18,14:51:16,0:09:58,0:09:58,0,0,0
6666,広瀬花子,2023-10-11,事務//提案資料作成,14:51:16,14:54:15,0:02:59,0:02:59,0,0,0
6666,広瀬花子,2023-10-11,受電//クレーム対応//SVにて完結,14:54:15,15:04:32,0:10:17,0:10:17,0,0,0
6666,広瀬花子,2023-10-11,受電//通常対応//セールス,15:04:32,15:04:56,0:00:24,0:00:24,0,0,0
6666,広瀬花子,2023-10-11,事務//提案資料作成,15:04:56,15:23:03,0:18:07,0:18:07,0,0,0
