社員番号,社員名,日付,タスク名,開始時間,終了時間,差分,作業時間合計,中断時間合計,中断回数,中断時間リスト
1234,山田太郎,2023-10-14,研修//事務研修,09:00:00,09:13:08,0:13:08,0:13:08,0,0,0
1234,山田太郎,2023-10-14,研修//スキルアップ研修,09:13:08,09:27:31,0:14:23,0:14:23,0,0,0
1234,山田太郎,2023-10-14,研修//事務研修,09:27:31,09:34:22,0:06:51,0:06:51,0,0,0
1234,山田太郎,2023-10-14,研修//新人研修,09:34:22,09:45:25,0:11:03,0:11:03,0,0,0
1234,山田太郎,2023-10-14,研修//新人研修,09:45:25,09:58:44,0:13:19,0:13:19,0,0,0
1234,山田太郎,2023-10-14,研修//スキルアップ研修,09:58:44,10:13:55,0:15:11,0:15:11,0,0,0
1234,山田太郎,2023-10-14,研修//新人研修,10:13:55,10:21:43,0:07:48,0:07:48,0,0,0
1234,山田太郎,2023-10-14,事務//経費精算,10:21:43,10:27:31,0:05:48,0:05:48,0,0,0
1234,山田太郎,2023-10-14,受電//クレーム対応//社員相談,10:27:31,10:27:49,0:00:18,0:00:18,0,0,0
1234,山田太郎,2023-10-14,研修//新人研修,10:27:49,10:30:05,0:02:16,0:02:16,0,0,0
1234,山田太郎,2023-10-14,研修//新人研修,10:30:05,10:37:59,0:07:54,0:07:54,0,0,0
1234,山田太郎,2023-10-14,研修//新人研修,10:37:59,10:42:37,0:04:38,0:04:38,0,0,0
1234,山田太郎,2023-10-14,研修//新人研修,10:42:37,10:44:21,0:01:44,0:01:44,0,0,0
1234,山田太郎,2023-10-14,事務//報告書作成,10:44:21,10:50:37,0:06:16,0:06:16,0,0,0
1234,山田太郎,2023-10-14,受電//クレーム対応//SVにて完結,10:50:37,11:02:08,0:11:31,0:11:31,0,0,0
1234,山田太郎,2023-10-14,事務//報告書作成,11:02:08,11:10:15,0:08:07,0:08:07,0,0,0
1234,山田太郎,2023-10-14,研修//スキルアップ研修,11:10:15,11:26:15,0:16:00,0:16:00,0,0,0
1234,山田太郎,2023-10-14,事務//経費精算,11:26:15,11:26:40,0:00:25,0:00:25,0,0,0
1234,山田太郎,2023-10-14,事務//提案資料作成,11:26:40,11:42:19,0:15:39,0:15:39,0,0,0
1234,山田太郎,2023-10-14,受電//通常対応//セールス,11:42:19,11:53:15,0:10:56,0:10:56,0,0,0
1234,山田太郎,2023-10-14,受電//クレーム対応//SVにて完結,11:53:15,11:57:19,0:04:04,0:04:04,0,0,0
1234,山田太郎,2023-10-14,受電//通常対応//セールス,11:57:19,12:10:45,0:13:26,0:13:26,0,0,0
1234,山田太郎,2023-10-14,受電//通常対応//設定変更,12:10:45,12:23:44,0:12:59,0:12:59,0,0,0
1234,山田太郎,2023-10-14,事務//経費精算,12:23:44,12:41:06,0:17:22,0:17:22,0,0,0
1234,山田太郎,2023-10-14,受電//内線対応,12:41:06,12:41:46,0:00:40,0:00:40,0,0,0
1234,山田太郎,2023-10-14,研修//新人研修,12:41:46,12:52:22,0:10:36,0:10:36,0,0,0
1234,山田太郎,2023-10-14,研修//新人研修,12:52:22,13:12:47,0:20:25,0:20:25,0,0,0
1234,山田太郎,2023-10-14,受電//クレーム対応//SVにて完結,13:12:47,13:23:14,0:10:27,0:10:27,0,0,0
1234,山田太郎,2023-10-14,受電//クレーム対応//社員相談,13:23:14,13:25:02,0:01:48,0:01:48,0,0,0
1234,山田太郎,2023-10-14,研修//事務研修,13:25:02,13:44:08,0:19:06,0:19:06,0,0,0
1234,山田太郎,2023-10-14,研修//スキルアップ研修,13:44:08,13:52:39,0:08:31,0:08:31,0,0,0
1234,山田太郎,2023-10-14,受電//クレーム対応//社員相談,13:52:39,14:01:37,0:08:58,0:08:58,0,0,0
1234,山田太郎,2023-10-14,受電//クレーム対応//社員相談,14:01:37,14:06:14,0:04:37,0:04:37,0,0,0
1234,山田太郎,2023-10-14,事務//報告書作成,14:06:14,14:15:57,0:09:43,0:09:43,0,0,0
1234,山田太郎,2023-10-14,受電//内線対応,14:15:57,14:25:29,0:09:32,0:09:32,0,0,0
1234,山田太郎,2023-10-14,事務//提案資料作成,14:25:29,14:28:46,0:03:17,0:03:17,0,0,0
1234,山田太郎,2023-10-14,受電//クレーム対応//社員相談,14:28:46,14:32:39,0:03:53,0:03:53,0,0,0
1234,山田太郎,2023-10-14,受電//クレーム対応//社員相談,14:32:39,14:42:40,0:10:01,0:10:01,0,0,0
1234,山田太郎,2023-10-14,研修//事務研修,14:42:40,14:52:17,0:09:37,0:09:37,0,0,0
1234,山田太郎,2023-10-14,受電//通常対応//設定変更,14:52:17,15:03:36,0:11:19,0:11:19,0,0,0
