社員番号,社員名,日付,タスク名,開始時間,終了時間,差分,作業時間合計,中断時間合計,中断回数,中断時間リスト
1111,鈴木誠一,2023-10-17,事務//報告書作成,09:00:00,09:10:53,0:10:53,0:10:53,0,0,0
1111,鈴木誠一,2023-10-17,受電//内線対応,09:10:53,09:11:00,0:00:07,0:00:07,0,0,0
1111,鈴木誠一,2023-10-17,受電//内線対応,09:11:00,09:13:59,0:02:59,0:02:59,0,0,0
1111,鈴木誠一,2023-10-17,受電//通常対応//設定変更,09:13:59,09:34:59,0:21:00,0:21:00,0,0,0
1111,鈴木誠一,2023-10-17,研修//新人研修,09:34:59,09:43:43,0:08:44,0:08:44,0,0,0
1111,鈴木誠一,2023-10-17,事務//提案資料作成,09:43:43,09:52:47,0:09:04,0:09:04,0,0,0
1111,鈴木誠一,2023-10-17,事務//報告書作成,09:52:47,10:01:41,0:08:54,0:08:54,0,0,0
1111,鈴木誠一,2023-10-17,事務//経費精算,10:01:41,10:15:54,0:14:13,0:14:13,0,0,0
1111,鈴木誠一,2023-10-17,研修//スキルアップ研修,10:15:54,10:33:31,0:17:37,0:17:37,0,0,0
1111,鈴木誠一,2023-10-17,事務//報告書作成,10:33:31,10:49:32,0:16:01,0:16:01,0,0,0
1111,鈴木誠一,2023-10-17,受電//通常対応//セールス,10:49:32,11:10:26,0:20:54,0:20:54,0,0,0
1111,鈴木誠一,2023-10-17,研修//スキルアップ研修,11:10:26,11:30:15,0:19:49,0:19:49,0,0,0
1111,鈴木誠一,2023-10-17,受電//クレーム対応//社員相談,11:30:15,11:50:57,0:20:42,0:20:42,0,0,0
1111,鈴木誠一,2023-10-17,受電//通常対応//設定変更,11:50:57,11:53:09,0:02:12,0:02:12,0,0,0
1111,鈴木誠一,2023-10-17,受電//通常対応//請求案内,11:53:09,12:12:52,0:19:43,0:19:43,0,0,0
1111,鈴木誠一,2023-10-17,事務//提案資料作成,12:12:52,12:16:58,0:04:06,0:04:06,0,0,0
1111,鈴木誠一,2023-10-17,受電//クレーム対応//社員相談,12:16:58,12:29:52,0:12:54,0:12:54,0,0,0
1111,鈴木誠一,2023-10-17,受電//内線対応,12:29:52,12:43:10,0:13:18,0:13:18,0,0,0
1111,鈴木誠一,2023-10-17,研修//新人研修,12:43:10,12:45:50,0:02:40,0:02:40,0,0,0
1111,鈴木誠一,2023-10-17,受電//クレーム対応//SVにて完結,12:45:50,12:58:55,0:13:05,0:13:05,0,0,0
1111,鈴木誠一,2023-10-17,研修//新人研修,12:58:55,13:03:34,0:04:39,0:04:39,0,0,0
1111,鈴木誠一,2023-10-17,研修//新人研修,13:03:34,13:16:21,0:12:47,0:12:47,0,0,0
1111,鈴木誠一,2023-10-17,受電//通常対応//セールス,13:16:21,13:20:23,0:04:02,0:04:02,0,0,0
1111,鈴木誠一,2023-10-17,事務//報告書作成,13:20:23,13:35:13,0:14:50,0:14:50,0,0,0
1111,鈴木誠一,2023-10-17,受電//通常対応//設定変更,13:35:13,13:50:39,0:15:26,0:15:26,0,0,0
1111,鈴木誠一,2023-10-17,研修//事務研修,13:50:39,13:55:40,0:05:01,0:05:01,0,0,0
1111,鈴木誠一,2023-10-17,受電//通常対応//請求案内,13:55:40,14:11:41,0:16:01,0:16:01,0,0,0
1111,鈴木誠一,2023-10-17,研修//新人研修,14:11:41,14:21:30,0:09:49,0:09:49,0,0,0
1111,鈴木誠一,2023-10-17,受電//通常対応//請求案内,14:21:30,14:36:04,0:14:34,0:14:34,0,0,0
1111,鈴木誠一,2023-10-17,研修//新人研修,14:36:04,14:55:24,0:19:20,0:19:20,0,0,0
1111,鈴木誠一,2023-10-17,事務//経費精算,14:55:24,15:12:30,0:17:06,0:17:06,0,0,0
1111,鈴木誠一,2023-10-17,受電//通常対応//設定変更,15:12:30,15:17:19,0:04:49,0:04:49,0,0,0
1111,鈴木誠一,2023-10-17,研修//スキルアップ研修,15:17:19,15:27:57,0:10:38,0:10:38,0,0,0
1111,鈴木誠一,2023-10-17,受電//クレーム対応//SVにて完結,15:27:57,15:47:33,0:19:36,0:19:36,0,0,0
1111,鈴木誠一,2023-10-17,研修//新人研修,15:47:33,16:08:28,0:20:55,0:20:55,0,0,0
1111,鈴木誠一,2023-10-17,受電//クレーム対応//SVにて完結,16:08:28,16:17:46,0:09:18,0:09:18,0,0,0
1111,鈴木誠一,2023-10-17,研修//スキルアップ研修,16:17:46,16:23:45,0:05:59,0:05:59,0,0,0
1111,鈴木誠一,2023-10-17,受電//通常対応//セールス,16:23:45,16:31:17,0:07:32,0:07:32,0,0,0
1111,鈴木誠一,2023-10-17,事務//提案資料作成,16:31:17,16:44:50,0:13:33,0:13:33,0,0,0
1111,鈴木誠一,2023-10-17,受電//通常対応//セールス,16:44:50,16:52:26,0:07:36,0:07:36,0,0,0
