社員番号,社員名,日付,タスク名,開始時間,終了時間,差分,作業時間合計,中断時間合計,中断回数,中断時間リスト
4444,佐藤元太,2023-10-24,事務//経費精算,09:00:00,09:00:45,0:00:45,0:00:45,0,0,0
4444,佐藤元太,2023-10-24,受電//通常対応//設定変更,09:00:45,09:10:24,0:09:39,0:09:39,0,0,0
4444,佐藤元太,2023-10-24,受電//クレーム対応//SVにて完結,09:10:24,09:21:04,0:10:40,0:10:40,0,0,0
4444,佐藤元太,2023-10-24,事務//提案資料作成,09:21:04,09:29:17,0:08:13,0:08:13,0,0,0
4444,佐藤元太,2023-10-24,研修//スキルアップ研修,09:29:17,09:47:18,0:18:01,0:18:01,0,0,0
4444,佐藤元太,2023-10-24,受電//内線対応,09:47:18,09:58:24,0:11:06,0:11:06,0,0,0
4444,佐藤元太,2023-10-24,研修//新人研修,09:58:24,10:02:52,0:04:28,0:04:28,0,0,0
4444,佐藤元太,2023-10-24,受電//内線対応,10:02:52,10:11:26,0:08:34,0:08:34,0,0,0
4444,佐藤元太,2023-10-24,受電//クレーム対応//SVにて完結,10:11:26,10:16:57,0:05:31,0:05:31,0,0,0
4444,佐藤元太,2023-10-24,受電//通常対応//請求案内,10:16:57,10:18:10,0:01:13,0:01:13,0,0,0
4444,佐藤元太,2023-10-24,受電//通常対応//請求案内,10:18:10,10:24:57,0:06:47,0:06:47,0,0,0
4444,佐藤元太,2023-10-24,受電//内線対応,10:24:57,10:35:24,0:10:27,0:10:27,0,0,0
4444,佐藤元太,2023-10-24,研修//新人研修,10:35:24,10:40:03,0:04:39,0:04:39,0,0,0
4444,佐藤元太,2023-10-24,受電//クレーム対応//SVにて完結,10:40:03,10:44:29,0:04:26,0:04:26,0,0,0
4444,佐藤元太,2023-10-24,研修//スキルアップ研修,10:44:29,10:51:00,0:06:31,0:06:31,0,0,0
4444,佐藤元太,2023-10-24,受電//クレーム対応//SVにて完結,10:51:00,11:05:10,0:14:10,0:14:10,0,0,0
4444,佐藤元太,2023-10-24,研修//スキルアップ研修,11:05:10,11:10:49,0:05:39,0:05:39,0,0,0
4444,佐藤元太,2023-10-24,受電//通常対応//セールス,11:10:49,11:29:19,0:18:30,0:18:30,0,0,0
4444,佐藤元太,2023-10-24,研修//スキルアップ研修,11:29:19,11:32:54,0:03:35,0:03:35,0,0,0
4444,佐藤元太,2023-10-24,事務//経費精算,11:32:54,11:47:57,0:15:03,0:15:03,0,0,0
4444,佐藤元太,2023-10-24,事務//提案資料作成,11:47:57,11:53:30,0:05:33,0:05:33,0,0,0
4444,佐藤元太,2023-10-24,受電//内線対応,11:53:30,11:55:43,0:02:13,0:02:13,0,0,0
4444,佐藤元太,2023-10-24,研修//事務研修,11:55:43,12:11:51,0:16:08,0:16:08,0,0,0
4444,佐藤元太,2023-10-24,受電//通常対応//設定変更,12:11:51,12:12:07,0:00:16,0:00:16,0,0,0
4444,佐藤元太,2023-10-24,事務//経費精算,12:12:07,12:15:24,0:03:17,0:03:17,0,0,0
4444,佐藤元太,2023-10-24,受電//通常対応//セールス,12:15:24,12:18:26,0:03:02,0:03:02,0,0,0
4444,佐藤元太,2023-10-24,研修//事務研修,12:18:26,12:37:11,0:18:45,0:18:45,0,0,0
4444,佐藤元太,2023-10-24,受電//クレーム対応//SVにて完結,12:37:11,12:45:16,0:08:05,0:08:05,0,0,0
4444,佐藤元太,2023-10-24,受電//クレーム対応//SVにて完結,12:45:16,13:05:08,0:19:52,0:19:52,0,0,0
4444,佐藤元太,2023-10-24,事務//提案資料作成,13:05:08,13:14:47,0:09:39,0:09:39,0,0,0
4444,佐藤元太,2023-10-24,研修//新人研修,13:14:47,13:18:08,0:03:21,0:03:21,0,0,0
4444,佐藤元太,2023-10-24,受電//内線対応,13:18:08,13:26:19,0:08:11,0:08:11,0,0,0
4444,佐藤元太,2023-10-24,事務//報告書作成,13:26:19,13:41:40,0:15:21,0:15:21,0,0,0
4444,佐藤元太,2023-10-24,事務//報告書作成,13:41:40,13:53:16,0:11:36,0:11:36,0,0,0
4444,佐藤元太,2023-10-24,研修//スキルアップ研修,13:53:16,14:13:20,0:20:04,0:20:04,0,0,0
4444,佐藤元太,2023-10-24,受電//クレーム対応//SVにて完結,14:13:20,14:24:22,0:11:02,0:11:02,0,0,0
4444,佐藤元太,2023-10-24,受電//クレーム対応//社員相談,14:24:22,14:31:04,0:06:42,0:06:42,0,0,0
4444,佐藤元太,2023-10-24,研修//スキルアップ研修,14:31:04,14:43:41,0:12:37,0:12:37,0,0,0
4444,佐藤元太,2023-10-24,受電//通常対応//設定変更,14:43:41,14:53:50,0:10:09,0:10:09,0,0,0
4444,佐藤元太,2023-10-24,研修//事務研修,14:53:50,15:03:34,0:09:44,0:09:44,0,0,0
