社員番号,社員名,日付,タスク名,開始時間,終了時間,差分,作業時間合計,中断時間合計,中断回数,中断時間リスト
8888,広中学,2023-10-29,受電//通常対応//設定変更,09:00:00,09:17:42,0:17:42,0:17:42,0,0,0
8888,広中学,2023-10-29,事務//報告書作成,09:17:42,09:24:14,0:06:32,0:06:32,0,0,0
8888,広中学,2023-10-29,研修//スキルアップ研修,09:24:14,09:29:25,0:05:11,0:05:11,0,0,0
8888,広中学,2023-10-29,受電//通常対応//セールス,09:29:25,09:49:37,0:20:12,0:20:12,0,0,0
8888,広中学,2023-10-29,受電//クレーム対応//SVにて完結,09:49:37,09:51:41,0:02:04,0:02:04,0,0,0
8888,広中学,2023-10-29,受電//クレーム対応//社員相談,09:51:41,09:57:19,0:05:38,0:05:38,0,0,0
8888,広中学,2023-10-29,事務//報告書作成,09:57:19,10:10:10,0:12:51,0:12:51,0,0,0
8888,広中学,2023-10-29,研修//新人研修,10:10:10,10:17:00,0:06:50,0:06:50,0,0,0
8888,広中学,2023-10-29,受電//クレーム対応//社員相談,10:17:00,10:19:15,0:02:15,0:02:15,0,0,0
8888,広中学,2023-10-29,受電//クレーム対応//社員相談,10:19:15,10:27:13,0:07:58,0:07:58,0,0,0
8888,広中学,2023-10-29,受電//内線対応,10:27:13,10:44:06,0:16:53,0:16:53,0,0,0
8888,広中学,2023-10-29,研修//新人研修,10:44:06,10:59:03,0:14:57,0:14:57,0,0,0
8888,広中学,2023-10-29,事務//提案資料作成,10:59:03,11:13:08,0:14:05,0:14:05,0,0,0
8888,広中学,2023-10-29,受電//内線対応,11:13:08,11:33:47,0:20:39,0:20:39,0,0,0
8888,広中学,2023-10-29,事務//報告書作成,11:33:47,11:39:56,0:06:09,0:06:09,0,0,0
8888,広中学,2023-10-29,事務//提案資料作成,11:39:56,11:49:04,0:09:08,0:09:08,0,0,0
8888,広中学,2023-10-29,受電//クレーム対応//社員相談,11:49:04,12:06:23,0:17:19,0:17:19,0,0,0
8888,広中学,2023-10-29,事務//経費精算,12:06:23,12:08:07,0:01:44,0:01:44,0,0,0
8888,広中学,2023-10-29,研修//新人研修,12:08:07,12:14:54,0:06:47,0:06:47,0,0,0
8888,広中学,2023-10-29,受電//通常対応//請求案内,12:14:54,12:21:38,0:06:44,0:06:44,0,0,0
8888,広中学,2023-10-29,受電//通常対応//セールス,12:21:38,12:25:38,0:04:00,0:04:00,0,0,0
8888,広中学,2023-10-29,受電//通常対応//セールス,12:25:38,12:29:44,0:04:06,0:04:06,0,0,0
8888,広中学,2023-10-29,事務//報告書作成,12:29:44,12:31:34,0:01:50,0:01:50,0,0,0
8888,広中学,2023-10-29,事務//経費精算,12:31:34,12:33:02,0:01:28,0:01:28,0,0,0
8888,広中学,2023-10-29,研修//新人研修,12:33:02,12:36:30,0:03:28,0:03:28,0,0,0
8888,広中学,2023-10-29,受電//内線対応,12:36:30,12:49:46,0:13:16,0:13:16,0,0,0
8888,広中学,2023-10-29,研修//新人研修,12:49:46,13:01:12,0:11:26,0:11:26,0,0,0
8888,広中学,2023-10-29,研修//新人研修,13:01:12,13:11:58,0:10:46,0:10:46,0,0,0
8888,広中学,2023-10-29,受電//通常対応//セールス,13:11:58,13:17:26,0:05:28,0:05:28,0,0,0
8888,広中学,2023-10-29,研修//スキルアップ研修,13:17:26,13:32:29,0:15:03,0:15:03,0,0,0
8888,広中学,2023-10-29,事務//報告書作成,13:32:29,13:38:36,0:06:07,0:06:07,0,0,0
8888,広中学,2023-10-29,事務//提案資料作成,13:38:36,13:41:25,0:02:49,0:02:49,0,0,0
8888,広中学,2023-10-29,事務//経費精算,13:41:25,13:41:45,0:00:20,0:00:20,0,0,0
8888,広中学,2023-10-29,研修//スキルアップ研修,13:41:45,13:53:38,0:11:53,0:11:53,0,0,0
8888,広中学,2023-10-29,研修//スキルアップ研修,13:53:38,14:03:33,0:09:55,0:09:55,0,0,0
8888,広中学,2023-10-29,受電//クレーム対応//SVにて完結,14:03:33,14:18:09,0:14:36,0:14:36,0,0,0
8888,広中学,2023-10-29,事務//経費精算,14:18:09,14:27:39,0:09:30,0:09:30,0,0,0
8888,広中学,2023-10-29,事務//提案資料作成,14:27:39,14:38:48,0:11:09,0:11:09,0,0,0
8888,広中学,2023-10-29,受電//通常対応//設定変更,14:38:48,14:52:06,0:13:18,0:13:18,0,0,0
8888,広中学,2023-10-29,研修//新人研修,14:52:06,15:10:37,0:18:31,0:18:31,0,0,0
